latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
21.5529,86.84061,343.55,0.39,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.86,3.32,D
20.85333,82.03088,332.49,0.48,0.4,2026-01-26,0735,N,VIIRS,n,2.0NRT,304.13,2.1,D
21.179,83.86234,334.06,0.41,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.72,2.4,D
21.17947,83.86248,334.21,0.41,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,303.05,3.49,D
21.68523,87.12841,341.46,0.4,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,301.35,4.4,D
21.75601,87.55712,333.04,0.41,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,301.01,3.45,D
20.8559,81.8591,338.51,0.49,0.4,2026-01-26,0735,N,VIIRS,n,2.0NRT,304.8,3.02,D
21.72478,87.26074,340.13,0.4,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,303.26,3.68,D
21.14328,83.13586,344.39,0.43,0.38,2026-01-26,0735,N,VIIRS,n,2.0NRT,305.08,12.28,D
21.18566,83.30447,333.02,0.42,0.38,2026-01-26,0735,N,VIIRS,n,2.0NRT,301.88,1.63,D
21.72325,86.6188,348.33,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,303.48,6.44,D
20.20924,77.95452,340.65,0.57,0.52,2026-01-26,0735,N,VIIRS,n,2.0NRT,300.27,6.4,D
20.98544,81.86948,336.97,0.49,0.4,2026-01-26,0735,N,VIIRS,n,2.0NRT,308.04,4.8,D
21.34456,83.95253,335.17,0.4,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,306.31,3.06,D
21.3511,83.97126,332.82,0.4,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.25,4.68,D
21.30605,83.63331,345.97,0.41,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,303.19,5.34,D
21.39426,84.12997,332.79,0.4,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,301.69,2.34,D
16.87586,77.42362,332.13,0.36,0.57,2026-01-26,0735,N,VIIRS,n,2.0NRT,299.73,2.31,D
17.71954,81.88992,336.55,0.54,0.42,2026-01-26,0735,N,VIIRS,n,2.0NRT,304.33,6.65,D
17.70517,82.5498,338.08,0.5,0.41,2026-01-26,0735,N,VIIRS,n,2.0NRT,305.18,8.51,D
17.70459,82.55214,345.21,0.5,0.41,2026-01-26,0735,N,VIIRS,n,2.0NRT,305.18,8.33,D
16.57476,76.90317,331.61,0.39,0.59,2026-01-26,0735,N,VIIRS,n,2.0NRT,298.13,2.31,D
16.5503,77.06419,330.3,0.38,0.59,2026-01-26,0735,N,VIIRS,n,2.0NRT,298.33,2.07,D
17.31299,81.23706,332.67,0.4,0.44,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.48,3.03,D
16.54109,77.37532,341.32,0.36,0.58,2026-01-26,0735,N,VIIRS,n,2.0NRT,301.61,4.28,D
16.2857,76.22804,332.47,0.44,0.62,2026-01-26,0735,N,VIIRS,n,2.0NRT,300.3,3,D
17.60605,83.20381,343.36,0.47,0.39,2026-01-26,0735,N,VIIRS,n,2.0NRT,308.28,9.3,D
16.28399,76.22804,339.94,0.44,0.62,2026-01-26,0735,N,VIIRS,n,2.0NRT,299.89,3.35,D
16.98762,80.62071,331.34,0.44,0.46,2026-01-26,0735,N,VIIRS,n,2.0NRT,297.74,3.54,D
16.26153,76.98602,339.01,0.39,0.59,2026-01-26,0735,N,VIIRS,n,2.0NRT,295.86,2.59,D
16.08318,76.12398,367,0.45,0.63,2026-01-26,0735,N,VIIRS,h,2.0NRT,294.48,12.69,D
16.28026,77.18734,330.05,0.38,0.59,2026-01-26,0735,N,VIIRS,n,2.0NRT,299.46,2.65,D
17.10602,81.61415,329.03,0.38,0.43,2026-01-26,0735,N,VIIRS,n,2.0NRT,301.48,2.35,D
17.10205,81.61491,334.33,0.38,0.43,2026-01-26,0735,N,VIIRS,n,2.0NRT,303.1,2.95,D
20.20958,77.95585,333.79,0.57,0.52,2026-01-26,0735,N,VIIRS,n,2.0NRT,299.69,7.58,D
17.09853,78.06321,355.19,0.32,0.55,2026-01-26,0735,N,VIIRS,n,2.0NRT,300.53,5,D
17.6729,80.70996,330.97,0.42,0.46,2026-01-26,0735,N,VIIRS,l,2.0NRT,301.07,2.76,D
18.25868,83.82505,336.18,0.43,0.38,2026-01-26,0735,N,VIIRS,n,2.0NRT,303.25,3.91,D
16.90701,76.4979,344.38,0.41,0.61,2026-01-26,0735,N,VIIRS,n,2.0NRT,298.84,5.99,D
16.90622,76.49409,348.63,0.41,0.61,2026-01-26,0735,N,VIIRS,n,2.0NRT,299.21,5.99,D
16.91253,76.49664,351.56,0.41,0.61,2026-01-26,0735,N,VIIRS,n,2.0NRT,296.99,9.1,D
16.91173,76.49282,356.45,0.41,0.61,2026-01-26,0735,N,VIIRS,n,2.0NRT,297.34,9.1,D
17.68399,80.25324,340.48,0.45,0.47,2026-01-26,0735,N,VIIRS,n,2.0NRT,300.42,3.46,D
17.20129,78.62093,332.02,0.59,0.53,2026-01-26,0735,N,VIIRS,n,2.0NRT,296.95,1.13,D
16.38809,73.71974,330.32,0.63,0.72,2026-01-26,0735,N,VIIRS,n,2.0NRT,288.61,5.97,D
17.81625,80.83199,340.3,0.42,0.45,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.34,2.35,D
16.90703,76.10314,337.09,0.43,0.62,2026-01-26,0735,N,VIIRS,n,2.0NRT,295.7,2.73,D
16.90904,76.10292,340.93,0.43,0.62,2026-01-26,0735,N,VIIRS,n,2.0NRT,296.06,7.11,D
18.23533,82.38917,334.81,0.5,0.41,2026-01-26,0735,N,VIIRS,n,2.0NRT,299.88,3.68,D
17.17649,76.75091,341.92,0.39,0.59,2026-01-26,0735,N,VIIRS,n,2.0NRT,301.34,3.59,D
